Modeling and post-processing done by PyAuxetic 2.0.1
Inc, Time, U_ld, U_td_mean, U_td_midpoint, strain_ld, strain_td_mean, strain_td_midpoint, poisson_midpoint, poisson_mean
0, 0.00, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.10, 2.00000000, 1.10751820, 0.70840871, 0.01051831, 0.02487417, 0.01676214, -2.36484502, -1.59361608
2, 0.20, 4.00000000, 2.19501066, 1.41565776, 0.01051831, 0.02442440, 0.01673470, -2.32208477, -1.59100743
3, 0.30, 6.00000000, 3.22917175, 2.09029818, 0.01051831, 0.02322661, 0.01596313, -2.20820819, -1.51765202
4, 0.40, 8.00000000, 4.17641783, 2.70160246, 0.01051831, 0.02127455, 0.01446449, -2.02262150, -1.37517277
5, 0.50, 10.00000000, 5.01167011, 3.22877979, 0.01051831, 0.01875924, 0.01247390, -1.78348506, -1.18592324
6, 0.60, 12.00000000, 5.72419500, 3.66509223, 0.01051831, 0.01600286, 0.01032389, -1.52142962, -0.98151611
7, 0.70, 14.00000000, 6.31727600, 4.01543236, 0.01051831, 0.01332023, 0.00828964, -1.26638519, -0.78811524
8, 0.80, 16.00000000, 6.80337429, 4.29093409, 0.01051831, 0.01091746, 0.00651884, -1.03794874, -0.61976089
9, 0.90, 18.00000000, 7.19863701, 4.50439072, 0.01051831, 0.00887735, 0.00505074, -0.84399075, -0.48018598
10, 1.00, 20.00000000, 7.51911545, 4.66770506, 0.01051831, 0.00719775, 0.00386429, -0.68430644, -0.36738732
